,cv_mean,cv_std,algorithm
0,0.7714134682936479,0.010957128565048211,DecisionTreeCla
1,0.8859007850706974,0.011632366569978578,RandomForestCla
2,0.8844227240793664,0.01354569194261819,ExtraTreesCla
3,0.8755550402084428,0.009435874869225595,GradientBoostingCla
4,0.8626337723636016,0.014662928264331418,KNN
5,0.855988295557632,0.011425016283636734,LR
6,0.8777724727339695,0.010030629387938398,LinearDiscrimiAna
7,0.8707579922379629,0.00874732959970341,MLPClassifier
8,0.8796222657235815,0.014689324337172405,XGBClassifier
9,0.8807292767936922,0.014841355412935025,LGBMClassifier
